,FighterID,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
114,965861,https://ufc.ru/athlete/dastin-dzheykobi,30.0,187.96,119.95,4.0,203.2,109.22,49.0,4.2,4.6,1.58,40.0,75.0,10.0,1.0,0.0,2.0
115,876422,https://ufc.ru/athlete/sergey-pavlovich,35.0,154.94,52.06,9.0,160.02,88.9,40.0,2.16,2.69,3.22,55.0,47.0,20.0,7.0,0.0,4.0
116,756618,https://ufc.ru/athlete/ciryl-gane,31.0,165.1,61.22,9.0,165.1,100.33,41.0,3.66,3.5,1.61,61.0,60.0,12.0,5.0,0.0,2.0
117,751521,https://ufc.ru/athlete/stipe-miochich,34.0,165.1,52.15,6.0,160.02,93.98,45.0,5.55,3.56,0.86,62.0,71.0,17.0,3.0,0.0,8.0
118,149457,https://ufc.ru/athlete/tom-aspinall,32.0,165.1,58.5,7.0,167.64,99.06,64.0,4.27,1.38,6.2,51.0,100.0,11.0,0.0,0.0,2.0
119,579920,https://ufc.ru/athlete/kyortis-bleyds,36.0,162.56,51.7,6.0,165.1,91.44,55.0,3.54,4.66,0.82,43.0,56.0,13.0,3.0,1.0,8.0
120,118416,https://ufc.ru/athlete/tay-tuivasa,31.0,156.21,59.86,10.0,157.47,88.9,51.0,6.68,5.34,2.54,54.0,70.0,24.0,12.0,0.0,9.0
121,686831,https://ufc.ru/athlete/sergey-spivak-0,35.0,160.02,52.15,4.0,162.56,93.98,41.0,2.34,3.03,2.42,57.0,74.0,19.0,3.0,0.0,1.0
122,207997,https://ufc.ru/athlete/aleksandr-volkov,30.0,162.56,52.15,5.0,160.02,95.25,40.0,3.36,4.09,0.81,51.0,40.0,13.0,3.0,0.0,0.0
123,924546,https://ufc.ru/athlete/kori-makkenna-10,36.0,167.64,52.15,5.0,165.1,97.79,48.0,4.58,2.94,0.17,56.0,64.0,16.0,3.0,2.0,6.0
124,639373,https://ufc.ru/athlete/derrik-lyuis,33.0,154.94,52.38,9.0,153.67,88.9,49.0,4.74,3.59,0.66,61.0,62.0,13.0,6.0,0.0,1.0
125,873620,https://ufc.ru/athlete/marchin-tybura,30.0,158.75,52.38,2.0,158.75,96.52,40.0,3.86,3.67,2.83,64.0,50.0,11.0,1.0,0.0,2.0
126,499673,https://ufc.ru/athlete/jairzinho-rozenstruik,37.0,160.02,52.6,8.0,157.47,90.17,47.0,3.63,4.01,1.4,51.0,72.0,18.0,11.0,0.0,3.0
127,697209,https://ufc.ru/athlete/aleksandr-romanov,28.0,154.94,54.87,2.0,154.94,91.44,37.0,4.12,4.45,4.23,61.0,67.0,9.0,1.0,0.0,1.0
128,804271,https://ufc.ru/athlete/markos-rozherio-de-lima,38.0,160.02,51.92,9.0,163.83,97.79,50.0,5.46,4.97,0.54,62.0,76.0,15.0,13.0,0.0,5.0
129,972974,https://ufc.ru/athlete/rodrigo-nasimento-ferreyra,34.0,165.1,56.46,8.0,170.18,96.52,53.0,3.29,1.99,2.57,64.0,72.0,23.0,4.0,0.0,8.0
130,811033,https://ufc.ru/athlete/carla-esparza,24.0,162.56,62.13,2.0,167.64,91.44,53.0,5.58,3.32,2.86,62.0,83.0,12.0,1.0,0.0,2.0
131,300223,https://ufc.ru/athlete/rouz-namayunas,33.0,170.18,63.03,2.0,165.1,96.52,53.0,5.3,3.48,0.33,51.0,65.0,10.0,1.0,0.0,6.0
132,235606,https://ufc.ru/athlete/yan-syaonyan,30.0,167.64,60.4,4.0,172.72,95.25,48.0,3.39,2.64,2.0,58.0,86.0,19.0,3.0,0.0,10.0
133,592979,https://ufc.ru/athlete/tatyana-suarez,34.0,175.26,57.82,7.0,172.72,106.68,35.0,4.59,4.41,0.27,63.0,54.0,18.0,5.0,0.0,2.0
134,899628,https://ufc.ru/athlete/amanda-lemos,31.0,156.21,59.86,10.0,157.47,88.9,51.0,6.68,5.34,2.54,54.0,70.0,24.0,12.0,0.0,9.0
135,281361,https://ufc.ru/athlete/jessica-andrade,39.0,165.1,56.91,9.0,170.18,96.52,39.0,4.05,5.25,1.03,55.0,70.0,16.0,6.0,0.0,8.0
136,389613,https://ufc.ru/athlete/virna-yandiroba,25.0,165.1,60.86,5.0,165.1,96.52,53.0,4.6,2.72,1.14,55.0,45.0,13.0,2.0,0.0,6.0
137,757541,https://ufc.ru/athlete/makkenzi-dyorn,34.0,162.56,56.68,5.0,162.56,96.52,39.0,4.5,4.78,0.27,56.0,57.0,21.0,9.0,1.0,4.0
138,677638,https://ufc.ru/athlete/marina-rodriguez,36.0,162.56,57.14,4.0,172.72,92.71,47.0,4.63,5.45,1.81,56.0,83.0,11.0,5.0,0.0,3.0
139,589815,https://ufc.ru/athlete/tecia-torres,25.0,167.64,56.68,2.0,175.26,93.98,56.0,8.77,5.9,1.96,58.0,71.0,9.0,1.0,0.0,3.0
140,265520,https://ufc.ru/athlete/amanda-ribas,26.0,162.56,56.46,1.0,165.1,91.44,49.0,5.2,2.23,0.68,66.0,93.0,16.0,5.0,1.0,5.0
141,792440,https://ufc.ru/athlete/pet-sabatini-1,29.0,165.1,56.68,4.0,166.37,97.79,55.0,3.56,2.32,2.8,59.0,71.0,10.0,1.0,0.0,1.0
142,885528,https://ufc.ru/athlete/mishel-uoterson,33.0,167.64,60.99,10.0,175.26,99.06,48.0,3.16,2.3,1.94,51.0,23.0,12.0,5.0,0.0,3.0
143,532281,https://ufc.ru/athlete/tabatha-ricci,34.0,170.18,60.99,10.0,171.45,93.98,51.0,4.02,3.34,0.93,62.0,63.0,15.0,9.0,0.0,1.0
144,222799,https://ufc.ru/athlete/andzhela-khill,31.0,167.64,63.03,5.0,168.91,99.06,55.0,4.16,4.71,0.35,57.0,69.0,11.0,2.0,1.0,1.0
145,860089,https://ufc.ru/athlete/valentina-shevchenko,31.0,172.72,68.93,7.0,172.72,100.33,41.0,3.04,3.92,1.51,52.0,93.0,14.0,3.0,0.0,2.0
146,957551,https://ufc.ru/athlete/erin-blanchfield,35.0,175.26,61.22,7.0,173.99,97.79,39.0,4.86,5.71,0.17,59.0,76.0,14.0,7.0,0.0,8.0
147,873816,https://ufc.ru/athlete/manon-firot,41.0,172.72,61.45,8.0,175.26,96.52,41.0,3.21,2.79,0.9,56.0,79.0,15.0,7.0,0.0,8.0
148,620262,https://ufc.ru/athlete/tayla-santos,31.0,170.18,61.67,5.0,172.72,99.06,49.0,4.87,3.75,0.35,54.0,71.0,17.0,7.0,0.0,3.0
149,780257,https://ufc.ru/athlete/katlyn-chookagian,33.0,167.64,68.48,5.0,173.99,101.6,57.0,4.16,3.03,1.11,50.0,43.0,14.0,8.0,0.0,7.0
150,185806,https://ufc.ru/athlete/jessica-andrade,31.0,180.34,63.26,5.0,182.88,106.68,45.0,3.64,2.61,2.17,47.0,64.0,9.0,3.0,0.0,3.0
151,361270,https://ufc.ru/athlete/loren-myorfi,28.0,165.1,71.2,4.0,171.45,91.44,55.0,5.43,4.17,1.38,49.0,68.0,17.0,5.0,0.0,4.0
152,272516,https://ufc.ru/athlete/meysi-barber,32.0,170.18,70.29,3.0,170.18,97.79,50.0,3.41,1.99,1.39,67.0,72.0,10.0,2.0,0.0,0.0
153,434315,https://ufc.ru/athlete/jennifer-maia,36.0,167.64,57.05,11.0,165.1,95.25,44.0,2.61,3.1,1.88,52.0,55.0,19.0,9.0,0.0,4.0
154,673785,https://ufc.ru/athlete/viviane-araujo,29.0,157.47,65.98,2.0,170.18,93.98,45.0,7.22,5.85,0.0,53.0,70.0,10.0,1.0,0.0,7.0
155,856283,https://ufc.ru/athlete/amanda-ribas,32.0,173.99,69.84,1.0,172.72,101.6,46.0,3.12,3.06,0.78,43.0,33.0,5.0,2.0,0.0,2.0
