,Division,FighterID,Name,URL,Age,Height,Weight,Experience,Arm span,Leg span,Accuracy strikes,Accented strikes,Missed strikes,Number takedowns,Strike protection,Takedown protection,Wins,Losses,Drafts,KO/TKO
63,Легкий вес,578850,Дэн Хукер,https://ufc.ru/athlete/den-khuker,33.0,182.88,70.52,9.0,190.5,107.95,49.0,5.08,4.76,0.79,51.0,81.0,23.0,12.0,0.0,11.0
64,Легкий вес,875505,Грант Доусон,https://ufc.ru/athlete/grant-douson,29.0,177.8,79.27,6.0,182.88,101.6,52.0,2.99,2.22,3.7,46.0,40.0,20.0,1.0,1.0,4.0
65,Легкий вес,708985,Рафаэль Дос Аньос,https://ufc.ru/athlete/rafael-dos-anos,38.0,172.72,77.09,15.0,177.8,96.52,47.0,3.52,3.19,2.01,61.0,57.0,32.0,15.0,0.0,5.0
66,Легкий вес,748736,Джэлин Тёрнер,https://ufc.ru/athlete/dzhelin-tyorner,28.0,190.5,79.81,5.0,195.58,116.84,49.0,5.82,4.61,0.91,41.0,76.0,14.0,7.0,0.0,9.0
67,Легкий вес,152022,Ренато Мойкано,https://ufc.ru/athlete/renato-moykano,34.0,180.34,70.65,9.0,182.88,107.95,48.0,4.75,4.07,1.66,61.0,74.0,17.0,5.0,1.0,0.0
68,Легкий вес,636751,Мэтт Фревола,https://ufc.ru/athlete/mett-frevola,33.0,175.26,70.29,6.0,180.34,101.6,42.0,3.72,3.56,2.26,60.0,43.0,11.0,3.0,1.0,4.0
69,Легкий вес,765690,Диего Феррейра,https://ufc.ru/athlete/diego-ferreyra,38.0,175.26,70.06,9.0,187.96,102.87,38.0,4.66,3.42,0.71,56.0,63.0,18.0,5.0,0.0,4.0
70,Полусредний вес,294199,Камару Усман,https://ufc.ru/athlete/kamaru-usman,36.0,182.88,77.09,8.0,193.04,104.14,52.0,4.46,2.75,2.96,54.0,97.0,20.0,3.0,0.0,9.0
71,Полусредний вес,695375,Колби Ковингтон,https://ufc.ru/athlete/kolbi-kovington,35.0,180.34,77.09,9.0,182.88,104.14,39.0,4.1,3.05,4.05,56.0,72.0,17.0,3.0,0.0,4.0
72,Полусредний вес,914363,Белал Мухаммад,https://ufc.ru/athlete/belal-mukhammad,34.0,180.34,77.09,7.0,182.88,101.6,43.0,4.55,3.64,1.98,58.0,93.0,23.0,3.0,0.0,5.0
74,Полусредний вес,682144,Гилберт Бёрнс,https://ufc.ru/athlete/gilbert-byorns,36.0,177.8,77.55,9.0,180.34,101.6,49.0,3.36,3.34,1.95,55.0,48.0,22.0,6.0,0.0,6.0
75,Полусредний вес,372802,Шавкат Рахмонов,https://ufc.ru/athlete/shavkat-rakhmonov,28.0,185.42,77.55,3.0,195.58,106.68,59.0,4.45,2.61,1.49,54.0,100.0,17.0,0.0,0.0,8.0
76,Полусредний вес,283568,Стивен Томпсон,https://ufc.ru/athlete/stiven-tompson,40.0,182.88,77.32,11.0,190.5,106.68,46.0,4.2,3.04,0.27,55.0,64.0,17.0,6.0,1.0,8.0
77,Полусредний вес,625945,Джефф Нил,https://ufc.ru/athlete/geoff-neal,32.0,180.34,79.36,5.0,190.5,104.14,51.0,5.22,5.6,0.51,58.0,88.0,15.0,5.0,0.0,9.0
78,Полусредний вес,686725,Шон Брэди,https://ufc.ru/athlete/shon-bredi,30.0,177.8,77.55,4.0,182.88,101.6,53.0,4.17,3.86,2.8,62.0,88.0,15.0,1.0,0.0,3.0
79,Полусредний вес,146758,Висенте Люке,https://ufc.ru/athlete/visente-lyuke,31.0,180.34,77.32,8.0,191.77,96.52,53.0,5.17,5.15,1.04,52.0,63.0,22.0,9.0,1.0,11.0
80,Полусредний вес,370544,Иэн Мачадо Гэрри,https://ufc.ru/athlete/nassurdin-imavov-4,25.0,190.5,77.32,2.0,189.23,106.68,57.0,6.67,3.58,0.67,54.0,69.0,13.0,0.0,0.0,7.0
81,Полусредний вес,795288,Нил Мэгни,https://ufc.ru/athlete/nil-megni,35.0,190.5,83.35,10.0,203.2,114.3,46.0,3.45,2.4,2.22,53.0,56.0,28.0,12.0,0.0,7.0
82,Полусредний вес,890501,Кевин Холлэнд,https://ufc.ru/athlete/kevin-khollend,30.0,190.5,76.87,5.0,205.74,101.6,52.0,4.11,2.96,0.83,53.0,53.0,25.0,9.0,0.0,14.0
84,Полусредний вес,698639,Майкл Киеса,https://ufc.ru/athlete/michael-chiesa,35.0,185.42,77.09,11.0,191.77,109.22,41.0,1.87,1.7,3.33,54.0,61.0,18.0,7.0,0.0,0.0
85,Средний вес,173274,Дрикус Дю Плесси,https://ufc.ru/athlete/drikus-du-plessis,29.0,185.42,84.35,3.0,193.04,109.22,56.0,6.95,3.79,2.72,53.0,40.0,20.0,2.0,0.0,9.0
86,Средний вес,107195,Роберт Уиттакер,https://ufc.ru/athlete/robert-uittaker,32.0,182.88,88.88,11.0,186.69,109.22,42.0,4.47,3.39,0.85,60.0,83.0,25.0,7.0,0.0,10.0
87,Средний вес,205543,Джаред Каннонир,https://ufc.ru/athlete/dzhared-kannone,39.0,180.34,84.12,8.0,196.85,105.41,52.0,4.68,4.13,0.44,60.0,63.0,17.0,6.0,0.0,10.0
88,Средний вес,396628,Марвин Веттори,https://ufc.ru/athlete/marvin-vettori,29.0,182.88,84.12,7.0,187.96,104.14,46.0,4.56,4.24,1.66,57.0,69.0,19.0,7.0,1.0,2.0
89,Средний вес,790741,Шон Стрикланд,https://ufc.ru/athlete/shon-strikland,32.0,185.42,89.34,9.0,193.04,105.41,41.0,5.86,4.28,1.0,63.0,84.0,27.0,5.0,0.0,11.0
90,Средний вес,793258,Пауло Коста,https://ufc.ru/athlete/paulo-kosta,32.0,185.42,84.12,6.0,182.88,100.33,60.0,6.5,6.38,0.53,47.0,79.0,14.0,2.0,0.0,11.0
91,Средний вес,974264,Дерек Брансон,https://ufc.ru/athlete/derek-branson,39.0,185.42,84.12,11.0,195.58,109.22,47.0,3.51,3.05,3.14,51.0,86.0,23.0,9.0,0.0,12.0
92,Средний вес,193466,Роман Долидзе,https://ufc.ru/athlete/roman-dolidze,34.0,187.96,84.35,3.0,193.04,104.14,44.0,3.02,3.01,1.72,55.0,33.0,12.0,2.0,0.0,7.0
93,Средний вес,615497,Джек Херманссон,https://ufc.ru/athlete/dzhek-khermansson,35.0,185.42,84.35,7.0,196.85,118.11,44.0,5.13,3.69,1.66,55.0,75.0,23.0,8.0,0.0,11.0
94,Средний вес,263358,Брендан Аллен,https://ufc.ru/athlete/brendan-allen,27.0,187.96,91.51,4.0,190.5,106.68,53.0,3.96,3.89,1.22,47.0,56.0,22.0,5.0,0.0,5.0
95,Средний вес,847904,Келвин Гастелум,https://ufc.ru/athlete/kelvin-gastelum,31.0,175.26,83.9,10.0,181.61,100.33,42.0,3.63,3.31,1.0,59.0,63.0,18.0,8.0,0.0,7.0
96,Средний вес,641803,Нассурдин Имавов,https://ufc.ru/athlete/nassurdin-imavov,28.0,190.5,84.12,3.0,190.5,106.68,53.0,4.55,3.76,1.09,59.0,73.0,12.0,4.0,0.0,5.0
97,Средний вес,823177,Пол Крейг,https://ufc.ru/athlete/pol-kreyg,35.0,191.77,92.06,7.0,193.04,109.22,46.0,2.57,2.85,1.91,47.0,43.0,17.0,6.0,1.0,4.0
100,Полутяжелый вес,320126,Иржи Прохазка,https://ufc.ru/athlete/dzhiri-prokhazka,30.0,190.5,92.97,3.0,203.2,114.3,56.0,5.77,5.4,0.38,40.0,68.0,29.0,3.0,1.0,25.0
101,Полутяжелый вес,360271,Магомед Анкалаев,https://ufc.ru/athlete/magomed-ankalaev,31.0,190.5,92.97,5.0,190.5,116.84,52.0,3.55,2.15,0.99,59.0,86.0,18.0,1.0,1.0,10.0
102,Полутяжелый вес,880587,Алекс Перейра,https://ufc.ru/athlete/alex-pereira,36.0,193.04,93.19,2.0,200.66,111.76,62.0,5.11,3.7,0.22,51.0,70.0,8.0,2.0,0.0,6.0
103,Полутяжелый вес,490764,Ян Блахович,https://ufc.ru/athlete/yan-blakhovich,40.0,187.96,92.97,9.0,198.12,111.76,50.0,3.41,2.91,1.09,53.0,69.0,29.0,10.0,1.0,9.0
104,Полутяжелый вес,663903,Александр Ракич,https://ufc.ru/athlete/aleksandr-rakich,31.0,193.04,92.97,6.0,198.12,116.84,50.0,4.01,2.3,0.82,53.0,90.0,14.0,3.0,0.0,9.0
105,Полутяжелый вес,112207,Джонни Уокер,https://ufc.ru/athlete/dzhonni-uolker,31.0,198.12,99.68,5.0,208.28,113.03,56.0,3.85,2.58,0.51,46.0,60.0,21.0,7.0,0.0,16.0
106,Полутяжелый вес,652816,Никита Крылов,https://ufc.ru/athlete/nikita-krylov,31.0,190.5,96.59,10.0,196.85,113.03,56.0,4.38,2.47,2.29,45.0,53.0,30.0,9.0,0.0,12.0
107,Полутяжелый вес,199344,Энтони Смит,https://ufc.ru/athlete/entoni-smit,35.0,193.04,95.69,11.0,193.04,111.76,48.0,3.16,4.45,0.52,46.0,49.0,37.0,18.0,0.0,19.0
108,Полутяжелый вес,882259,Волкан Оздемир,https://ufc.ru/athlete/volkan-ozdemir,33.0,187.96,102.04,6.0,190.5,102.87,47.0,4.53,3.97,0.47,56.0,80.0,19.0,7.0,0.0,12.0
109,Полутяжелый вес,144545,Раян Спэнн,https://ufc.ru/athlete/rayan-spenn,32.0,195.58,100.68,6.0,200.66,115.57,41.0,3.42,3.91,1.29,45.0,48.0,21.0,9.0,0.0,6.0
110,Полутяжелый вес,640254,Халил Раунтри мл.,https://ufc.ru/athlete/khalil-rauntri-ml,33.0,185.42,92.97,7.0,194.31,111.76,39.0,3.73,4.16,0.0,51.0,56.0,13.0,5.0,0.0,9.0
